City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Murliganj,IN,25.9,86.9833,80.85,90,98,3.56,overcast clouds
80,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,83,75,6.91,broken clouds
81,Yellowknife,CA,62.456,-114.3525,57.72,72,75,6.91,broken clouds
82,Phangnga,TH,8.4509,98.5298,78.91,92,37,2.53,scattered clouds
83,Kaitangata,NZ,-46.2817,169.8464,40.93,94,41,6.85,scattered clouds
84,Provideniya,RU,64.3833,-173.3,40.03,75,55,0.18,broken clouds
85,Ribeira Grande,PT,38.5167,-28.7,75.6,83,20,16.11,few clouds
86,Selikhino,RU,50.3672,137.4996,55.62,88,95,3.27,overcast clouds
87,Saint-Francois,FR,46.4154,3.9054,79.18,78,75,6.91,broken clouds
88,Carutapera,BR,-1.195,-46.02,81.28,88,50,10.71,scattered clouds
89,Saint-Joseph,RE,-21.3667,55.6167,70.18,81,31,6.98,scattered clouds
90,Saint-Ambroise,CA,48.5501,-71.3324,88.9,66,25,6.91,scattered clouds
91,Pacific Grove,US,36.6177,-121.9166,81.63,89,75,4.0,haze
92,Sangar,RU,63.9242,127.4739,57.99,68,8,4.92,clear sky
93,Morro Bay,US,35.3658,-120.8499,86.58,52,84,3.0,broken clouds
94,Inuvik,CA,68.3499,-133.7218,56.26,74,75,1.14,broken clouds
95,Georgetown,MY,5.4112,100.3354,83.89,85,40,2.3,scattered clouds
96,Leningradskiy,RU,69.3833,178.4167,39.49,74,98,6.91,overcast clouds
97,Berlevag,NO,70.8578,29.0864,53.55,82,75,6.91,broken clouds
98,Nanortalik,GL,60.1432,-45.2371,47.05,80,79,9.82,broken clouds
99,Bud,US,39.447,-86.1758,89.11,67,19,11.63,few clouds
100,Hamilton,US,39.1834,-84.5333,93.65,67,40,1.01,scattered clouds
101,Port-Gentil,GA,-0.7193,8.7815,80.56,74,75,13.8,broken clouds
102,Faya,SA,18.3851,42.4509,69.91,43,59,3.67,broken clouds
103,Mirabad,AF,30.4362,61.8383,96.48,9,0,16.89,clear sky
104,Saldanha,ZA,-33.0117,17.9442,53.65,63,5,24.14,clear sky
105,Tocopilla,CL,-22.092,-70.1979,65.8,64,28,8.61,scattered clouds
106,Isangel,VU,-19.55,169.2667,68.47,76,35,15.48,scattered clouds
107,Mayumba,GA,-3.432,10.6554,75.72,80,72,6.93,broken clouds
108,Russell,US,32.3502,-85.1999,89.96,65,1,0.0,clear sky
109,Haapiti,PF,-17.5667,-149.8667,73.13,74,53,13.47,light rain
110,Touros,BR,-5.1989,-35.4608,81.5,65,53,17.58,broken clouds
111,Cidreira,BR,-30.1811,-50.2056,56.86,60,80,9.28,broken clouds
112,Vaini,TO,-21.2,-175.2,66.36,88,20,12.66,few clouds
113,Faanui,PF,-16.4833,-151.75,78.46,69,20,13.2,few clouds
114,Lebu,CL,-37.6167,-73.65,54.5,56,0,5.75,clear sky
115,Hilo,US,19.7297,-155.09,71.8,78,90,6.91,light rain
116,Kiria,GR,41.1,24.2833,86.38,66,80,1.97,broken clouds
117,Antalaha,MG,-14.9003,50.2788,69.53,90,5,6.29,clear sky
118,Yulara,AU,-25.2406,130.9889,48.04,46,0,6.91,clear sky
119,Mana,GF,5.6592,-53.7767,86.49,63,79,7.07,broken clouds
120,Strelka,RU,58.0728,93.0344,60.03,97,9,2.53,clear sky
121,Storslett,NO,69.7678,21.0247,55.4,88,75,10.36,broken clouds
122,Boende,CD,-0.2167,20.8667,79.25,71,83,2.84,light rain
123,Ponta Do Sol,PT,32.6667,-17.1,79.72,73,52,2.66,broken clouds
124,Ouadda,CF,8.0777,22.4007,67.77,98,100,3.91,overcast clouds
125,Miastko,PL,54.0028,16.9826,69.44,55,66,6.29,broken clouds
126,Jalu,LY,29.0331,21.5482,103.28,15,0,15.5,clear sky
127,Souillac,MU,-20.5167,57.5167,72.36,83,40,8.05,scattered clouds
128,Grindavik,IS,63.8424,-22.4338,60.57,77,20,14.97,few clouds
129,Kaeo,NZ,-35.1,173.7833,47.32,94,93,10.36,overcast clouds
130,Luanda,AO,-8.8368,13.2343,75.2,78,75,10.36,broken clouds
131,Vao,NC,-22.6667,167.4833,67.24,66,100,21.18,overcast clouds
132,Pudukkottai,IN,10.3833,78.8167,84.06,60,99,6.24,overcast clouds
133,Nova Olinda Do Norte,BR,-3.8881,-59.0942,101.95,21,42,3.06,scattered clouds
134,Peabiru,BR,-23.9128,-52.3431,71.82,56,88,4.74,overcast clouds
135,Mar Del Plata,AR,-38.0023,-57.5575,48.22,57,0,3.44,clear sky
136,Danville,US,36.586,-79.395,94.64,57,1,4.61,clear sky
137,Panaba,MX,21.2833,-88.2667,94.78,39,20,7.85,few clouds
138,Lompoc,US,34.6391,-120.4579,82.11,82,75,0.0,broken clouds
139,Lebanon,US,36.2081,-86.2911,92.1,61,1,6.91,clear sky
140,Ngunguru,NZ,-35.6167,174.5,47.16,73,100,9.98,overcast clouds
141,Hualmay,PE,-11.0964,-77.6139,67.39,66,40,9.71,scattered clouds
142,Panacan,PH,9.2463,118.4082,80.19,83,94,0.76,overcast clouds
143,Svobodnyy,RU,51.4,128.1333,61.68,67,54,4.76,broken clouds
144,Port Elizabeth,ZA,-33.918,25.5701,49.1,93,90,4.61,light rain
145,Talnakh,RU,69.4865,88.3972,41.2,93,34,5.95,scattered clouds
146,Salinopolis,BR,-0.6136,-47.3561,82.42,82,80,13.29,broken clouds
147,Nantucket,US,41.2835,-70.0995,89.62,86,88,17.92,overcast clouds
148,Hami,CN,42.8,93.45,86.34,18,9,7.2,clear sky
149,Rawson,AR,-43.3002,-65.1023,59.88,26,0,11.39,clear sky
150,Upernavik,GL,72.7868,-56.1549,43.79,80,99,0.76,overcast clouds
151,Portland,US,45.5234,-122.6762,87.89,53,25,1.01,scattered clouds
152,Ciudad Bolivar,VE,8.1222,-63.5497,89.47,54,68,5.32,broken clouds
153,Port Hardy,CA,50.6996,-127.4199,57.38,88,20,3.44,mist
154,Gisborne,NZ,-38.6533,178.0042,51.94,71,100,10.04,overcast clouds
155,Vardo,NO,70.3705,31.1107,55.6,87,75,8.05,broken clouds
