City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
243,Mahasamund,IN,84.47,overcast clouds,21.1,82.1,mauhari bhantha mahasamund
248,Arya,PK,89.47,clear sky,33.6,73.0667,Gulzar Travel & Tours
254,Katsuura,JP,75.31,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
257,Kupang,ID,77.04,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
260,Luz,BR,86.2,clear sky,-19.8014,-45.6856,Hotel Turista
270,Cherat,PK,82.33,clear sky,33.8233,71.8915,Faqeer Afzal Residency
271,Pemangkat,ID,76.69,overcast clouds,1.1667,108.9667,Ramah Kost KITA
272,Bubaque,GW,80.28,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
274,Langnau,CH,85.87,clear sky,46.9394,7.7874,Hotel Emmental
281,Puri,IN,82.92,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
284,Wanning,CN,82.47,overcast clouds,18.8003,110.3967,Paradise Hotel
285,Sandakan,MY,80.28,few clouds,5.8402,118.1179,Hotel Sandakan
288,Muros,ES,84.16,few clouds,42.7762,-9.0603,Apartment Av. Castelao
289,Puerto Cabello,VE,81.88,few clouds,10.4731,-68.0125,Hotel Cumboto
294,Sao Filipe,CV,77.23,few clouds,14.8961,-24.4956,Hotel Xaguate
299,Lucapa,AO,77.9,clear sky,-8.4192,20.7447,Residência Ulisses Dos Santos
302,Kirakira,SB,76.5,overcast clouds,-10.4544,161.9205,SanBiz Lodge
304,Deming,US,80.78,broken clouds,32.2687,-107.7586,Best Western Deming Southwest Inn
305,Canon City,US,88.61,clear sky,38.441,-105.2424,Travel Inn Motel
307,Shaoxing,CN,80.55,overcast clouds,30.011,120.5715,Holiday Inn Shaoxing
309,Orel-Izumrud,RU,78.82,broken clouds,43.4583,39.9244,Strana Magnoliy
311,Padang,ID,76.98,scattered clouds,-0.9492,100.3543,Mercure Padang
312,Thung Song,TH,75.79,few clouds,8.1645,99.6804,Jasmine Resort And Spa
313,Vila Franca Do Campo,PT,75.61,clear sky,37.7167,-25.4333,Pestana Bahia Praia
314,La Cruz,MX,85.46,broken clouds,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
316,Bathsheba,BB,88.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
320,Sola,VU,77.83,broken clouds,-13.8833,167.55,Leumerus Bungalows
322,Gombe,NG,75.22,light rain,10.2897,11.1673,Shinani Lodge
323,San Policarpo,PH,81.99,few clouds,12.1791,125.5072,Manong Aklan Resort
326,Ransang,PH,79.2,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
328,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
330,Guinticgan,PH,82.2,overcast clouds,11.5641,123.1236,Jeanette Resort Carles Iloilo B&B
331,Kununurra,AU,80.58,clear sky,-15.7667,128.7333,Hotel Kununurra
333,Roma,US,86.5,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
